id;nomMunicipio;f_nacim;f_destete;alzada;peso;sexo;tipo
183;Cangas del Narcea;26/11/2005;02/03/2006;95;167;M;C
184;Pravia;24/12/2011;03/04/2012;106;236;M;C
185;Belmonte de Miranda;10/08/2003;23/03/2004;0;231;H;AC
186;Parres;17/05/2007;04/09/2007;86;123;H;AC
187;Regueras (Las);16/03/2011;20/10/2011;95;158;H;C
188;Somiedo;19/11/2009;17/05/2010;100;222;M;C
189;Morcín;26/04/2011;29/09/2011;109;287;M;C
190;Belmonte de Miranda;13/02/2010;17/09/2010;102;254;M;C
191;Somiedo;18/02/2006;14/06/2006;86;108;M;C
192;Siero;08/03/2008;20/10/2008;105;266;H;AC
193;San Martín de Oscos;06/12/2004;11/05/2005;95;209;M;C
194;Grado;26/09/2007;01/04/2008;105;305;M;C
195;Somiedo;01/05/2006;13/09/2006;0;137;M;C
196;Lena;18/04/2012;05/11/2012;100;201;M;N
197;Llamas de la Ribera;16/02/2006;29/06/2006;99;221;M;C
198;Llanera;12/05/2004;04/11/2004;103;229;H;N
199;Villaviciosa;22/08/2010;24/01/2011;100;248;H;N
200;Laviana;24/03/2004;15/07/2004;93;134;H;C
201;Cieza;05/09/2008;24/03/2009;99;202;H;N
202;Voto;17/07/2011;23/03/2012;92;199;H;C
203;Somiedo;21/12/2006;13/04/2007;90;155;M;C
204;Tineo;24/01/2011;22/06/2011;102;228;H;C
205;Cabrillanes;10/08/2007;25/01/2008;108;233;H;N
206;Llanera;24/07/2006;09/01/2007;112;323;M;C
207;Cangas de Onís;29/10/2007;29/01/2008;85;128;H;AC
208;Gijón;16/04/2006;08/11/2006;101;200;M;C
209;Lena;07/05/2012;27/11/2012;109;235;H;N
210;Oviedo;20/04/2011;11/10/2011;108;256;M;C
211;Tineo;13/05/2009;19/01/2010;110;213;H;C
212;Llanera;12/01/2005;19/07/2005;0;258;H;C
213;Tineo;15/05/2005;08/11/2005;110;327;M;C
214;Teverga;26/02/2004;24/09/2004;103;235;H;C
215;Cangas del Narcea;22/01/2010;05/05/2010;93;155;H;C
216;Sariego;25/09/2004;21/01/2005;90;131;H;C
217;Siero;24/04/2012;07/12/2012;100;224;H;C
218;Somiedo;01/04/2006;20/11/2006;102;204;H;AC
219;Cangas del Narcea;08/06/2009;12/02/2010;112;260;H;C
220;Teverga;02/04/2006;02/12/2006;101;205;H;C
221;Oviedo;15/03/2010;26/07/2010;98;158;M;C
222;Somiedo;03/02/2011;08/05/2011;90;141;M;C
223;Tineo;14/03/2007;17/09/2007;114;306;H;C
